	1-2	1-4	1-6	1-7	2-9	2-10	2-12	2-14	3-16	3-19	3-21	3-24	4-26	4-29	4-31
F6WHT9|NAGK	0.023824863214580883	-0.05172479618859987	-0.06534075366731773	0.03176704581865218	0.12166883331829959	-0.0026374688166311278	-0.019826629595359413	-0.11082318384351496	-0.048318024289221675	-0.07836787149898118	-0.15022637518984236	0.0673552678017644	-0.02963623437625376	-0.09233564318408005	-0.12565809825967333
H9Z4P2|METAP2	-0.12395449734777499	-0.11258314415075632	-0.006669891865854802	-0.053161523848293896	-0.04567572494092424	0.013115499790258167	0.08413856859241156	0.03088849565880572	-0.045590811679568216	0.006560698167964896	0.02642372474434239	-0.1537721862981058	0.01723037066172038	0.019665874379687587	-0.0154751805092503
F7DZS2|NECAP1	0.17923703495800156	0.08817052652780817	-0.0723204239857634	0.13042968149669798	-0.0361529508224175	0.08070438350070075	-0.013187432232324242	-0.04090218740920436	-0.0013205447520520386	0.09663948762531566	0.048509537149578605	0.08496466739514286	0.04334321098085171	0.1692422304301975	0.2674587827622485
F6RZ65|ABLIM2	-0.08662896165895487	0.35706275090024153	0.1740596471735151	0.46210575293562267	0.22258131757775065	0.29022509083577475	0.05789566582915823	0.10170220803359586	0.26127341075290805	0.22370694993845364	0.2299915700142905	0.1967829085793307	0.41236831250285927	0.451776887017473	0.6474898322131789
A0A5F7ZLB5|CAPS	-0.09658352583163568	-0.4137010517160297	-0.7006060901692865	0.04997984907668214	0.30195507112037934	0.11029916568899664	0.4048277668464152	-0.9104725059125063	0.22672286320973228	-0.44650283740121344	-0.032360871712789535	0.2479275134435854	0.5507823411999542	0.6193703941774032	0.5438006765482561
F6Y0R1|CAB39	0.009312033515689322	0.0679040645018036	0.025068034237510917	0.0	-0.06906757329515262	-0.06191619191126824	-0.046693235448041395	-0.028907425134400797	0.09574687320811254	-0.14952109964408206	0.0	0.0	-0.1267435366403272	-0.045076890370568196	-0.16120567693877022
F6VME9|CAMSAP2	-0.3725184203732357	-0.29084430393049626	-0.3339561917644114	-0.3175851402284186	-0.3466015488240616	-0.33184356375244506	-0.32225631580582703	-0.35183128334730973	-0.34588483608244436	-0.3130781827547269	-0.3063455771071242	-0.3443114471378397	-0.29648657490640173	-0.27854798177170365	-0.18964965495292052
A0A1D5QEA9|SRPK2	-0.010716446978128347	0.006669891865854802	0.04197227047531604	-0.057333175065951626	-0.05388843236142886	-0.07157559221002746	-0.04804978941812647	0.08462869467465439	-0.025299407686491915	0.040203541995600556	0.0510857789786114	-0.05403983971288917	-0.05850484492260369	-0.10109697602682963	-0.011238187622779741
A0A1D5QMB8|PLXNB1	-0.03239114635196726	0.02386866091517599	0.06886749753837623	-0.02565458876016917	0.054496759496908465	0.017027011560652727	0.05030917135735072	-0.017011567201183103	0.026160191670054844	0.08552753250509093	0.07912490438766288	0.0013253974665673185	0.1577251769282062	0.13109625873692174	0.31547683772157414
A0A5F8AT19|CA4	0.40667208652749554	0.2743549419692299	0.24090571898777483	0.137746831793498	-0.03209092549918231	0.17124192991430348	0.22894120716538593	0.03977445889039399	0.14073974544541945	0.3446317321980601	0.30097628126215775	0.35340632636053015	0.025113969737553574	0.15091040765794028	0.44241262306270984
H9FQ29|CPT2	-0.9488677907896835	-0.8881270762875205	-0.8726956757249219	-0.9167945273896629	-0.921510384881295	-0.8751280332237308	-0.8119568240166127	-0.7998940879054095	-0.867665492883119	-0.7729183232808896	-0.757556688939453	-0.9050684878458107	-0.7757040356497125	-0.8114572136108662	-0.7810099268722275
H9FYW1|SRP72	-0.498834870154636	-0.3977595078470083	-0.3542285867906725	-0.5042858544215577	-0.4421792088062926	-0.4764953289810493	-0.48910717365819034	-0.38372461913664585	-0.4812091883808639	-0.41635322672151004	-0.47771399541910525	-0.4931382373254921	-0.468459986519463	-0.5412511523748176	-0.5159731681272859
F7BQJ9|SULT4A1	0.1337374868113534	0.06917909334386534	0.26768505010337507	0.11197277678913707	0.16004702429660497	0.21162387565087154	0.18804317598338724	0.20349915954101377	0.1738793987309346	0.12103051729203523	0.08290654493008941	0.14015310216388419	0.11033977505320179	0.11227004499227444	-0.029689039728951164
A0A1D5R540|RPL28	-0.37597812236910266	-0.26169795827097975	-0.2942464819624401	-0.4302852729777808	-0.534929331651679	-0.5849625007211562	-0.5245468429134824	-0.27583986206476596	-0.4812091883808639	-0.23671045284439907	-0.2577108018562476	-0.5560813807340274	-0.39649020014513253	-0.32397770166338313	0.04001993208245333
F7GPV6|PAICS	-0.01745487604709617	-0.0712586831698219	-0.17525844574535318	-0.0783743118747042	0.028802491018352278	0.005260516460695336	-0.03319739296381838	-0.22630040126345088	-0.11822971766512008	-0.3016862845494327	-0.28669448952575144	-0.06926266243711393	-0.20296783726181572	-0.09525017961145743	-0.18169213317400112
F7HAT6|LOC697977	-0.21706390173925638	-0.4886393615261903	-0.1707570535104124	-0.33267447635135866	-0.29539577749383716	-0.42605890537009594	-0.21780515184079613	-0.5432910066581644	-0.47385786016441817	-0.23361453955143405	-0.33633338971431553	-0.41150580830859074	-0.10077432472045826	-0.10991184076687324	0.31996772085259345
A0A1D5RJS7|ACYP2	0.22791088169369114	0.15814052727168515	0.05227727886705458	0.05514155419246104	-0.04022644540884246	-0.03466901676804521	0.027307345995735532	-0.07475392913599312	0.032626787171285615	0.037643301677036584	0.14451689037128962	0.03795062923297535	0.07533332522528856	0.251839316508721	0.30305433791624714
A0A1D5R919|ACAP2	0.1141420067361166	0.09819798681540308	-0.10343858224751457	0.1474456585122994	0.06591154903923549	0.06315618228985356	-0.01451282969889156	-0.10381639473845576	-0.04015180414080001	0.011787859831514313	-0.010706505841402661	0.1521356879987841	-0.017438646106324826	0.03840243696127339	0.1971857028094241
A0A5F7ZD50|PCBP3	-0.02015908497547425	0.0	0.10396519818777097	-0.09114788805819542	0.1204529082223964	0.14168958483654315	0.2588714132304336	-0.14925936549962288	-0.153030079331324	0.027356662439997376	-0.046061782289365014	-0.09452450508452581	0.11404057667439978	-0.05072345351171026	0.41013156047978094
I2CU80|DAGLA	0.051132209210316415	0.006669891865854802	-0.02822315982276706	0.0692417512373149	-0.018632851779399703	0.08816018841974804	0.05030917135735072	0.02578612061129093	0.07584731577040765	-0.11066312363102698	0.04979823311815125	-0.006645313642012388	-0.09080009705464948	-0.00890327781708318	-0.038285063417336264
A0A5F8ACE6|HBS1L	-0.02015908497547425	0.06662790781453305	-0.012028096877049088	0.04090218740920436	0.006596696636919641	-0.025252791931911503	-0.013187432232324242	0.06362120084476189	0.003954397288622208	-0.049499260952631255	0.03295472295473685	0.024976665531212694	-0.01608970253830598	0.045035529293720594	-0.018306771292412944
G7MUU1|SCAMP1	0.027757700836507554	0.05380386745694975	-0.021453109666317638	0.05514155419246104	0.045555725756622256	0.0	-0.03051330839260684	0.005194227180249533	-0.045590811679568216	0.04403540358662761	0.035558866334894565	0.05846930457017613	0.06517345900506684	0.04238595087977129	0.15633446527800504
